Ticker,Company Name,Sector,Industry
AZN,AstraZeneca PLC,Healthcare,Drug Manufacturers - General
B90,N/A,N/A,N/A
BA,The Boeing Company,Industrials,Aerospace & Defense
BAB,Invesco Taxable Municipal Bond ETF,N/A,N/A
BAG,N/A,N/A,N/A
BAG.L,A.G. BARR p.l.c.,Consumer Defensive,Beverages - Non-Alcoholic
BAKK,N/A,N/A,N/A
BAKK.L,Bakkavor Group plc,Consumer Defensive,Packaged Foods
BAR,GraniteShares Gold Trust,N/A,N/A
BARC,N/A,N/A,N/A
BARK,"BARK, Inc.",Consumer Cyclical,Specialty Retail
BATS,N/A,N/A,N/A
BBB,CYBER HORNET S&P 500 and Bitcoin 75/25 Strategy ETF,N/A,N/A
BBGI,"Beasley Broadcast Group, Inc.",Communication Services,Broadcasting
BBH,VanEck Biotech ETF,N/A,N/A
BBOX,Black Box Corporation,N/A,N/A
BBSN,N/A,N/A,N/A
BBY,"Best Buy Co., Inc.",Consumer Cyclical,Specialty Retail
BCG,"Binah Capital Group, Inc.",Financial Services,Asset Management
BCN,N/A,N/A,N/A
BDEV,N/A,N/A,N/A
BEG,Leverage Shares 2X Long BE Daily ETF,N/A,N/A
BELL,N/A,N/A,N/A
BEM,N/A,N/A,N/A
BERI,"Blue Earth Resources, Inc.",Energy,Oil & Gas Refining & Marketing
BEZ,Tradr 2X Short Be Daily ETF,N/A,N/A
BGEO,N/A,N/A,N/A
BGO,Bialgo Commercial Operation Management Co Ltd,N/A,N/A
BGO.L,Bango PLC,Technology,Software - Infrastructure
BHP,BHP Group Limited,Basic Materials,Other Industrial Metals & Mining
BHY,N/A,N/A,N/A
BIDS,Amplify Digital & Online Trading ETF,N/A,N/A
BIFF,N/A,N/A,N/A
BIFF.L,N/A,N/A,N/A
BIH,N/A,N/A,N/A
BILN,N/A,N/A,N/A
BISI,N/A,N/A,N/A
BKG,N/A,N/A,N/A
BKS,N/A,N/A,N/A
BKY,N/A,N/A,N/A
BLND,"Blend Labs, Inc.",Technology,Software - Application
BLOE,N/A,N/A,N/A
BLTG,N/A,N/A,N/A
BLTG.L,N/A,N/A,N/A
BLU,N/A,N/A,N/A
BLV,Vanguard Long-Term Bond Fund,N/A,N/A
BLV.L,N/A,N/A,N/A
BLVN,N/A,N/A,N/A
BME,BlackRock Health Sciences Trust,Financial Services,Asset Management
BMK,N/A,N/A,N/A
BMN.L,N/A,N/A,N/A
BMTO,N/A,N/A,N/A
BMY,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - General
BNZL,N/A,N/A,N/A
BOCH,N/A,N/A,N/A
BOCH.L,N/A,N/A,N/A
BOD,N/A,N/A,N/A
BOIL,ProShares Ultra Bloomberg Natural Gas,N/A,N/A
BOKU,N/A,N/A,N/A
BOKU.L,"Boku, Inc.",Technology,Software - Infrastructure
BONH,N/A,N/A,N/A
BOO,N/A,N/A,N/A
BOO.L,N/A,N/A,N/A
BOOM,DMC Global Inc.,Industrials,Conglomerates
BOTB,N/A,N/A,N/A
BOWL,N/A,N/A,N/A
BOY,N/A,N/A,N/A
BOY.L,Bodycote plc,Industrials,Specialty Industrial Machinery
BP,BP p.l.c.,Energy,Oil & Gas Integrated
BPCR,BioPharma Credit Ord,N/A,N/A
BPCR.L,BioPharma Credit Ord,N/A,N/A
BPM,N/A,N/A,N/A
BRBY,N/A,N/A,N/A
BRCK,N/A,N/A,N/A
BRCK.L,BRCK Group plc,Industrials,Industrial Distribution
BRD,N/A,N/A,N/A
BRE,N/A,N/A,N/A
BREE,MFS Blended Research Emerging Markets Equity ETF,N/A,N/A
BREE.L,Breedon Group plc,Basic Materials,Building Materials
BRH,N/A,N/A,N/A
BRK.L,Brooks Macdonald Group plc,Financial Services,Asset Management
BRSD,N/A,N/A,N/A
BRW,Saba Capital Income & Opportunities Fund,Financial Services,Asset Management
BSE,N/A,N/A,N/A
BSIF,N/A,N/A,N/A
BSRT,N/A,N/A,N/A
BSY,"Bentley Systems, Incorporated",Technology,Software - Application
BT,N/A,N/A,N/A
BUR.L,Burford Capital Limited,Financial Services,Asset Management
BVC,BitVentures Limited,Technology,Software - Application
BVIC,N/A,N/A,N/A
BVS,Bioventus Inc.,Healthcare,Medical Devices
BWNG,N/A,N/A,N/A
BWY,N/A,N/A,N/A
BXP,"BXP, Inc.",Real Estate,REIT - Office
BYG,N/A,N/A,N/A
BYIT.L,Bytes Technology Group plc,Technology,Software - Infrastructure
BZT,N/A,N/A,N/A
C4XD.L,N/A,N/A,N/A
CAD,N/A,N/A,N/A
CAL,"Caleres, Inc.",Consumer Cyclical,Apparel Retail
CALL,magicJack VocalTec Ltd.,N/A,N/A
CAM,AB California Intermediate Municipal ETF,N/A,N/A
CAM.L,Camellia Plc,Consumer Defensive,Farm Products
CAMB,N/A,N/A,N/A
CAML,Congress Large Cap Growth ETF,N/A,N/A
CAML.L,Central Asia Metals plc,Basic Materials,Copper
CAPC,"Capstone Companies, Inc.",Technology,Consumer Electronics
CAR,"Avis Budget Group, Inc.",Industrials,Rental & Leasing Services
CARD,Max Auto Industry -3X Inverse Leveraged ETN,N/A,N/A
CARR,Carrier Global Corporation,Industrials,Building Products & Equipment
CARR.L,N/A,N/A,N/A
CAU,N/A,N/A,N/A
CAU.L,Centaur Media Plc,Communication Services,Advertising Agencies
CBG,N/A,N/A,N/A
CBOX,N/A,N/A,N/A
CBP,N/A,N/A,N/A
CBQS,N/A,N/A,N/A
CCC,CCC Intelligent Solutions Holdings Inc.,Technology,Software - Application
CCH,N/A,N/A,N/A
CCP,N/A,N/A,N/A
CCR,N/A,N/A,N/A
CCR.L,C&C Group plc,Consumer Defensive,Beverages - Brewers
CCS,"Century Communities, Inc.",Real Estate,Real Estate - Development
CCT,N/A,N/A,N/A
CDFF,N/A,N/A,N/A
CEIA,N/A,N/A,N/A
CEPS,"Cantor Equity Partners VI, Inc.",Financial Services,Shell Companies
CER,N/A,N/A,N/A
CER.L,Cerillion Plc,Technology,Software - Application
CEY,VictoryShares Emerging Market High Div Volatility Wtd ETF,N/A,N/A
CFX,N/A,N/A,N/A
CFYN,N/A,N/A,N/A
CGEO,N/A,N/A,N/A
CGEO.L,Georgia Capital PLC,Financial Services,Financial Conglomerates
CGH,N/A,N/A,N/A
CGH.L,N/A,N/A,N/A
CGNR,N/A,N/A,N/A
CGO,Calamos Global Total Return Fund,Financial Services,Asset Management
CGS,N/A,N/A,N/A
CGT,N/A,N/A,N/A
CHAR,Charlton Aria Acquisition Corporation,Financial Services,Shell Companies
CHE,Chemed Corporation,Healthcare,Medical Care Facilities
CHF,N/A,N/A,N/A
CHG,N/A,N/A,N/A
CHH,"Choice Hotels International, Inc.",Consumer Cyclical,Lodging
CHRT.L,Cohort plc,Industrials,Aerospace & Defense
CHU,N/A,N/A,N/A
CIC,N/A,N/A,N/A
CIHL,N/A,N/A,N/A
CINE,N/A,N/A,N/A
CIR,N/A,N/A,N/A
CIR.L,N/A,N/A,N/A
CIZ,VictoryShares Developed Enhanced Volatility Wtd ETF,N/A,N/A
CKN,N/A,N/A,N/A
CKT,N/A,N/A,N/A
CLCO,N/A,N/A,N/A
CLDN,N/A,N/A,N/A
CLG,N/A,N/A,N/A
CLI,N/A,N/A,N/A
CLIN.L,N/A,N/A,N/A
CLON,N/A,N/A,N/A
CLX,The Clorox Company,Consumer Defensive,Household & Personal Products
CMB,N/A,N/A,N/A
CMCX.L,CMC Markets Plc,Financial Services,Capital Markets
CMH,N/A,N/A,N/A
CML,N/A,N/A,N/A
CNA,CNA Financial Corporation,Financial Services,Insurance - Property & Casualty
CNE,N/A,N/A,N/A
CNIC,CION Investment Corporation,N/A,N/A
CNIC.L,N/A,N/A,N/A
CNKS,N/A,N/A,N/A
CNS,"Cohen & Steers, Inc.",Financial Services,Asset Management
COA,N/A,N/A,N/A
COBR,N/A,N/A,N/A
COG,N/A,N/A,N/A
COM,Direxion Auspice Broad Commodity Strategy ETF,N/A,N/A
CORA,N/A,N/A,N/A
CORO,iShares International Country Rotation Active ETF,N/A,N/A
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores
CPC,N/A,N/A,N/A
CPG,N/A,N/A,N/A
CPI,IQ Real Return ETF,N/A,N/A
CPP,N/A,N/A,N/A
CPR,N/A,N/A,N/A
CPX,N/A,N/A,N/A
CRC,California Resources Corporation,Energy,Oil & Gas E&P
CRCL,Circle Internet Group,Financial Services,Capital Markets
CRDA,BlackRock Credit Strategies Fund,N/A,N/A
CRE,Cre8 Enterprise Limited,Industrials,Specialty Business Services
CREI,N/A,N/A,N/A
CREO.L,Creo Medical Group PLC,Healthcare,Medical Devices
CRL,"Charles River Laboratories International, Inc.",Healthcare,Diagnostics & Research
CRN,N/A,N/A,N/A
CRPR,N/A,N/A,N/A
CRS,Carpenter Technology Corporation,Industrials,Metal Fabrication
CRST,N/A,N/A,N/A
CRU,N/A,N/A,N/A
CRV,N/A,N/A,N/A
CSFS,N/A,N/A,N/A
CSH,Morgan Creek-Exos Active SPAC Arbitrage ETF,N/A,N/A
CSN,N/A,N/A,N/A
CSP,N/A,N/A,N/A
CSSG,N/A,N/A,N/A
CTEC,Global X CleanTech ETF,N/A,N/A
CTEC.L,Convatec Group PLC,Healthcare,Medical Instruments & Supplies
CTG,N/A,N/A,N/A
CTO,"CTO Realty Growth, Inc.",Real Estate,REIT - Diversified
CTY,N/A,N/A,N/A
CURY,N/A,N/A,N/A
CVSG.L,CVS Group plc,Healthcare,Medical Care Facilities
CWD,CaliberCos Inc.,Financial Services,Asset Management
CWK,Cushman & Wakefield Limited,Real Estate,Real Estate Services
CWR,N/A,N/A,N/A
CYAN,Cyanotech Corporation,Consumer Defensive,Packaged Foods
CYBA,N/A,N/A,N/A
CZN,N/A,N/A,N/A
D4T4,N/A,N/A,N/A
DAL,"Delta Air Lines, Inc.",Industrials,Airlines
DAL,"Delta Air Lines, Inc.",Industrials,Airlines
DATA,N/A,N/A,N/A
DATA.L,GlobalData Plc,Industrials,Consulting Services
DBOX,N/A,N/A,N/A
DC,Dakota Gold Corp.,Basic Materials,Gold
DCC.L,DCC plc,Energy,Oil & Gas Refining & Marketing
DCD,N/A,N/A,N/A
DCI,"Donaldson Company, Inc.",Industrials,Specialty Industrial Machinery
DCTA,N/A,N/A,N/A
DDDD,YieldMax U.S. Stocks Target Double Distribution ETF,N/A,N/A
DEB,WisdomTree Europe Total Dividend,N/A,N/A
DEC.L,Diversified Energy Company,Energy,Oil & Gas Integrated
DELT,N/A,N/A,N/A
DEMG,Xtrackers FTSE Emerging Comprehensive Factor ETF,N/A,N/A
DEST,N/A,N/A,N/A
DEV,N/A,N/A,N/A
DFI,N/A,N/A,N/A
DFS.L,DFS Furniture plc,Consumer Cyclical,Specialty Retail
DGE,N/A,N/A,N/A
DIA.L,Dialight plc,Industrials,Electrical Equipment & Parts
DIGS,N/A,N/A,N/A
DJAN,FT Vest U.S. Equity Deep Buffer ETF - January,N/A,N/A
DKE,N/A,N/A,N/A
DKL,"Delek Logistics Partners, LP",Energy,Oil & Gas Refining & Marketing
DLAR,N/A,N/A,N/A
DLG,N/A,N/A,N/A
DLN,WisdomTree U.S. LargeCap Dividend Fund,N/A,N/A
DMGT,N/A,N/A,N/A
DMTR,N/A,N/A,N/A
DNE,N/A,N/A,N/A
DNK,N/A,N/A,N/A
DNL,WisdomTree Global ex-U.S. Quality Growth Fund,N/A,N/A
DNLM,N/A,N/A,N/A
DOCS.L,Dr. Martens plc,Consumer Cyclical,Footwear & Accessories
DOTD.L,dotdigital Group Plc,Technology,Software - Application
DPA,DP Aircraft I Ord,N/A,N/A
DPEU.L,N/A,N/A,N/A
DPH,N/A,N/A,N/A
DPLM,N/A,N/A,N/A
DPP,N/A,N/A,N/A
DRX,Roundhill Meme Stock ETF,N/A,N/A
DSCV,N/A,N/A,N/A
DSG,N/A,N/A,N/A
DTY,DTE Energy Company,N/A,N/A
DVRG,N/A,N/A,N/A
DWF,N/A,N/A,N/A
DWHT,N/A,N/A,N/A
DX,"Dynex Capital, Inc.",Real Estate,REIT - Mortgage
DXRX.L,Diaceutics PLC,Healthcare,Health Information Services
EAAS,N/A,N/A,N/A
EAH,N/A,N/A,N/A
EBQ,N/A,N/A,N/A
ECEA,N/A,N/A,N/A
ECEL,N/A,N/A,N/A
ECHO,N/A,N/A,N/A
ECK.L,N/A,N/A,N/A
ECM,N/A,N/A,N/A
ECOR,"electroCore, Inc.",Healthcare,Medical Devices
ECR,N/A,N/A,N/A
ECSC,N/A,N/A,N/A
EDEN,iShares MSCI Denmark ETF,N/A,N/A
EDR,N/A,N/A,N/A
EEE,Cyber Hornet S&P 500And Ethereum 75/25 Strategy ETF,N/A,N/A
EJFI,N/A,N/A,N/A
EKF.L,EKF Diagnostics Holdings plc,Healthcare,Medical Devices
ELCO,Elcom International Inc.,Technology,Software - Application
ELIX,N/A,N/A,N/A
ELLA.L,Ecclesiastical Insurance Office plc,Financial Services,Insurance - Life
ELM.L,Elementis plc,Basic Materials,Specialty Chemicals
ELTA,N/A,N/A,N/A
EMAN,N/A,N/A,N/A
EME,"EMCOR Group, Inc.",Industrials,Engineering & Construction
EMG,"Emergent Capital, Inc.",N/A,N/A
EMH,N/A,N/A,N/A
EMIS,Emmis Acquisition Corp.,N/A,N/A
EML,The Eastern Company,Industrials,Tools & Accessories
EMR,Emerson Electric Co.,Industrials,Specialty Industrial Machinery
ENET,N/A,N/A,N/A
ENOG,N/A,N/A,N/A
ENPL,N/A,N/A,N/A
ENQ,N/A,N/A,N/A
ENQ.L,EnQuest PLC,Energy,Oil & Gas E&P
ENT,N/A,N/A,N/A
ENW,N/A,N/A,N/A
EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P
EPIC,N/A,N/A,N/A
EPWN,N/A,N/A,N/A
EQLS,Simplify Market Neutral Equity Long/Short ETF,N/A,N/A
EQLS.L,N/A,N/A,N/A
EQN.L,N/A,N/A,N/A
EQT,EQT Corporation,Energy,Oil & Gas E&P
EQT.L,EQTEC PLC,Industrials,Specialty Industrial Machinery
ERGO,"Entia Biosciences, Inc.",Healthcare,Biotechnology
ERGO.L,N/A,N/A,N/A
EROS,N/A,N/A,N/A
ESC,N/A,N/A,N/A
ESKN,N/A,N/A,N/A
ESNT,Essent Group Ltd.,Financial Services,Insurance - Specialty
ESP,Espey Mfg. & Electronics Corp.,Industrials,Electrical Equipment & Parts
ESUR,N/A,N/A,N/A
ETLN,N/A,N/A,N/A
ETX,Eaton Vance Municipal Income 2028 Term Trust,Financial Services,Asset Management
ETX.L,N/A,N/A,N/A
EUA,N/A,N/A,N/A
EUZ,N/A,N/A,N/A
EVE,N/A,N/A,N/A
EVG,Eaton Vance Short Duration Diversified Income Fund,Financial Services,Asset Management
EVR,Evercore Inc.,Financial Services,Capital Markets
EXPN,N/A,N/A,N/A
EXR,Extra Space Storage Inc.,Real Estate,REIT - Industrial
EYE,"National Vision Holdings, Inc.",Consumer Cyclical,Specialty Retail
EZJ,ProShares Ultra MSCI Japan,N/A,N/A
FA,First Advantage Corporation,Industrials,Specialty Business Services
FAB,First Trust Multi Cap Value AlphaDEX Fund,N/A,N/A
FAIR,Fair Oaks Income 2021 Ord,N/A,N/A
FAN,First Trust Global Wind Energy ETF,N/A,N/A
FAR,N/A,N/A,N/A
FARN,N/A,N/A,N/A
FARN.L,Faron Pharmaceuticals Oy,Healthcare,Biotechnology
FBH,N/A,N/A,N/A
FCAP,"First Capital, Inc.",Financial Services,Banks - Regional
FCCN,Spectral Capital Corporation,Technology,Information Technology Services
FCH,N/A,N/A,N/A
FCH.L,Funding Circle Holdings plc,Financial Services,Credit Services
FCRM,Franklin Credit Management Corporation,Financial Services,Mortgage Finance
FCRM.L,N/A,N/A,N/A
FDBK,N/A,N/A,N/A
FDEV,Fidelity International Multifactor ETF,N/A,N/A
FDM.L,FDM Group (Holdings) plc,Technology,Information Technology Services
FDP,Fresh Del Monte Produce Inc.,Consumer Defensive,Farm Products
FEES,N/A,N/A,N/A
FEET,N/A,N/A,N/A
FERG,Ferguson Enterprises Inc.,Industrials,Industrial Distribution
FERG.L,Ferguson Enterprises Inc.,Industrials,Industrial Distribution
FEVR,Inspire Faithward Large Cap Momentum ETF,N/A,N/A
FEVR.L,Fevertree Drinks PLC,Consumer Defensive,Beverages - Non-Alcoholic
FGP,N/A,N/A,N/A
FIF,N/A,N/A,N/A
FIH,N/A,N/A,N/A
FIPP,N/A,N/A,N/A
FIVE,"Five Below, Inc.",Consumer Cyclical,Specialty Retail
FIVE.IL,N/A,N/A,N/A
FKE,N/A,N/A,N/A
FLK,N/A,N/A,N/A
FLO,"Flowers Foods, Inc.",Consumer Defensive,Packaged Foods
FLTA,N/A,N/A,N/A
FOUR.L,4imprint Group plc,Communication Services,Advertising Agencies
FOX,Fox Corporation,Communication Services,Entertainment
FOXT,N/A,N/A,N/A
FPO,N/A,N/A,N/A
FRAN,N/A,N/A,N/A
FRAN.L,Franchise Brands plc,Industrials,Specialty Business Services
FRAS,N/A,N/A,N/A
FRES,N/A,N/A,N/A
FRP,N/A,N/A,N/A
FRP.L,FRP Advisory Group plc,Financial Services,Capital Markets
FSJ,N/A,N/A,N/A
FSTA,Fidelity MSCI Consumer Staples Index ETF,N/A,N/A
FTC,First Trust Large Cap Growth AlphaDEX Fund,N/A,N/A
FUL,H.B. Fuller Company,Basic Materials,Specialty Chemicals
FUM,N/A,N/A,N/A
FUM.L,Futura Medical plc,Healthcare,Biotechnology
FUTR,N/A,N/A,N/A
FXPO,N/A,N/A,N/A
GACB,N/A,N/A,N/A
GAMA.L,Gamma Communications plc,Communication Services,Telecom Services
GATC,N/A,N/A,N/A
GAW,N/A,N/A,N/A
GB0767628,N/A,N/A,N/A
GBG,N/A,N/A,N/A
GBP,N/A,N/A,N/A
GCG,N/A,N/A,N/A
GCLA,N/A,N/A,N/A
GDP,N/A,N/A,N/A
GDR,N/A,N/A,N/A
GDWN,N/A,N/A,N/A
GEM,Goldman Sachs ActiveBeta Emerging Markets Equity ETF,N/A,N/A
GEMD,Goldman Sachs Access Emerging Markets USD Bond ETF,N/A,N/A
GENL,N/A,N/A,N/A
GENL.L,Genel Energy plc,Energy,Oil & Gas E&P
GENS,N/A,N/A,N/A
GETB,N/A,N/A,N/A
GFIN,Goldman Sachs Finance Reimagined ETF,N/A,N/A
GFM,N/A,N/A,N/A
GFRD,N/A,N/A,N/A
GFS,GLOBALFOUNDRIES Inc.,Technology,Semiconductors
GFTU,N/A,N/A,N/A
GGP,GGP Inc.,N/A,N/A
GHH,N/A,N/A,N/A
GHS,Rex Gold Hedged S&amp;P 500 ETF,N/A,N/A
GHT.L,N/A,N/A,N/A
GILD,"Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - General
GKP.L,Gulf Keystone Petroleum Limited,Energy,Oil & Gas E&P
GLB,N/A,N/A,N/A
GLE,Global Engine Group Holding Limited,Technology,Information Technology Services
GLEN,N/A,N/A,N/A
GLO.L,N/A,N/A,N/A
GLPR,N/A,N/A,N/A
GLR,N/A,N/A,N/A
GLTR,abrdn Physical Precious Metals Basket Shares ETF,N/A,N/A
GLV,Clough Global Dividend and Income Fund,Financial Services,Asset Management
GLV.L,Glenveagh Properties PLC,Consumer Cyclical,Residential Construction
GMAA,N/A,N/A,N/A
GMR,N/A,N/A,N/A
GMS,N/A,N/A,N/A
GNC,N/A,N/A,N/A
GNK,Genco Shipping & Trading Limited,Industrials,Marine Shipping
GOG,N/A,N/A,N/A
GOOD,Gladstone Commercial Corporation,Real Estate,REIT - Diversified
GPH.L,N/A,N/A,N/A
GPX,N/A,N/A,N/A
GR1T.L,Grit Real Estate Income Group Limited,Real Estate,Real Estate Services
GRA,N/A,N/A,N/A
GRC,The Gorman-Rupp Company,Industrials,Specialty Industrial Machinery
GRG,N/A,N/A,N/A
GRG.L,Greggs plc,Consumer Cyclical,Restaurants
GRI,"GRI Bio, Inc.",Healthcare,Biotechnology
GROW,"U.S. Global Investors, Inc.",Financial Services,Asset Management
GRP,N/A,N/A,N/A
GSK,GSK plc,Healthcare,Drug Manufacturers - General
GSS,N/A,N/A,N/A
GST,Gastar Exploration Inc.,N/A,N/A
GTC,Tucows Inc.,N/A,N/A
GTLY,N/A,N/A,N/A
GUN,N/A,N/A,N/A
GUS,N/A,N/A,N/A
GVC,N/A,N/A,N/A
GWI,N/A,N/A,N/A
GWMO,N/A,N/A,N/A
GYG,N/A,N/A,N/A
GYM,N/A,N/A,N/A
HAN,N/A,N/A,N/A
HARL,Harleysville Financial Corporation,Financial Services,Banks - Regional
HAS,"Hasbro, Inc.",Consumer Cyclical,Leisure
HAYD,N/A,N/A,N/A
HBR,Canary HBAR ETF,N/A,N/A
HBRN,N/A,N/A,N/A
HCFT,N/A,N/A,N/A
HDD,N/A,N/A,N/A
HDT,N/A,N/A,N/A
HDY.L,N/A,N/A,N/A
HEAD,N/A,N/A,N/A
HEIQ,N/A,N/A,N/A
HEMO,N/A,N/A,N/A
HFD,N/A,N/A,N/A
HFG,N/A,N/A,N/A
HGM,N/A,N/A,N/A
HGT,Hugoton Royalty Trust,N/A,N/A
HGT.L,HgCapital Trust Ord,N/A,N/A
HICL,N/A,N/A,N/A
HIK,N/A,N/A,N/A
HILS,N/A,N/A,N/A
HKLB,N/A,N/A,N/A
HL,Hecla Mining Company,Basic Materials,Other Precious Metals & Mining
HLCL,N/A,N/A,N/A
HLMA,N/A,N/A,N/A
HLMA.L,Halma plc,Industrials,Conglomerates
