Ticker,Company Name,Sector,Industry,Exchange (Yahoo)
CRCL,Circle Internet Group,Financial Services,Capital Markets,NYSE
CRE,Cre8 Enterprise Limited,Industrials,Specialty Business Services,NasdaqCM
CREO.L,Creo Medical Group PLC,Healthcare,Medical Devices,LSE
CRL,"Charles River Laboratories International, Inc.",Healthcare,Diagnostics & Research,NYSE
CRS,Carpenter Technology Corporation,Industrials,Metal Fabrication,NYSE
CTEC.L,Convatec Group PLC,Healthcare,Medical Instruments & Supplies,LSE
CTO,"CTO Realty Growth, Inc.",Real Estate,REIT - Diversified,NYSE
CVSG.L,CVS Group plc,Healthcare,Medical Care Facilities,LSE
CWD,CaliberCos Inc.,Financial Services,Asset Management,NasdaqCM
CWK,Cushman & Wakefield Limited,Real Estate,Real Estate Services,NYSE
CYAN,Cyanotech Corporation,Consumer Defensive,Packaged Foods,OTC Markets OTCPK
DAL,"Delta Air Lines, Inc.",Industrials,Airlines,NYSE
DAL,"Delta Air Lines, Inc.",Industrials,Airlines,NYSE
DATA.L,GlobalData Plc,Industrials,Consulting Services,LSE
DC,Dakota Gold Corp.,Basic Materials,Gold,NYSE American
DCC.L,DCC plc,Energy,Oil & Gas Refining & Marketing,LSE
DCI,"Donaldson Company, Inc.",Industrials,Specialty Industrial Machinery,NYSE
DEC.L,Diversified Energy Company,Energy,Oil & Gas Integrated,LSE
DFS.L,DFS Furniture plc,Consumer Cyclical,Specialty Retail,LSE
DIA.L,Dialight plc,Industrials,Electrical Equipment & Parts,LSE
DKL,"Delek Logistics Partners, LP",Energy,Oil & Gas Refining & Marketing,NYSE
DOCS.L,Dr. Martens plc,Consumer Cyclical,Footwear & Accessories,LSE
DOTD.L,dotdigital Group Plc,Technology,Software - Application,LSE
DX,"Dynex Capital, Inc.",Real Estate,REIT - Mortgage,NYSE
DXRX.L,Diaceutics PLC,Healthcare,Health Information Services,LSE
ECOR,"electroCore, Inc.",Healthcare,Medical Devices,NasdaqCM
EKF.L,EKF Diagnostics Holdings plc,Healthcare,Medical Devices,LSE
ELCO,Elcom International Inc.,Technology,Software - Application,OTC Markets OTCPK
ELLA.L,Ecclesiastical Insurance Office plc,Financial Services,Insurance - Life,LSE
ELM.L,Elementis plc,Basic Materials,Specialty Chemicals,LSE
EME,"EMCOR Group, Inc.",Industrials,Engineering & Construction,NYSE
EML,The Eastern Company,Industrials,Tools & Accessories,NasdaqGM
EMR,Emerson Electric Co.,Industrials,Specialty Industrial Machinery,NYSE
ENQ.L,EnQuest PLC,Energy,Oil & Gas E&P,LSE
EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,NYSE
EQT,EQT Corporation,Energy,Oil & Gas E&P,NYSE
EQT.L,EQTEC PLC,Industrials,Specialty Industrial Machinery,LSE
ERGO,"Entia Biosciences, Inc.",Healthcare,Biotechnology,OTC Markets OTCPK
ESNT,Essent Group Ltd.,Financial Services,Insurance - Specialty,NYSE
ESP,Espey Mfg. & Electronics Corp.,Industrials,Electrical Equipment & Parts,NYSE American
ETX,Eaton Vance Municipal Income 2028 Term Trust,Financial Services,Asset Management,NYSE
EVG,Eaton Vance Short Duration Diversified Income Fund,Financial Services,Asset Management,NYSE
EVR,Evercore Inc.,Financial Services,Capital Markets,NYSE
EXR,Extra Space Storage Inc.,Real Estate,REIT - Industrial,NYSE
EYE,"National Vision Holdings, Inc.",Consumer Cyclical,Specialty Retail,NasdaqGS
FA,First Advantage Corporation,Industrials,Specialty Business Services,NasdaqGS
FARN.L,Faron Pharmaceuticals Oy,Healthcare,Biotechnology,LSE
FCAP,"First Capital, Inc.",Financial Services,Banks - Regional,NasdaqCM
FCCN,Spectral Capital Corporation,Technology,Information Technology Services,OTC Markets OTCQB
FCH.L,Funding Circle Holdings plc,Financial Services,Credit Services,LSE
FCRM,Franklin Credit Management Corporation,Financial Services,Mortgage Finance,OTC Markets OTCPK
FDM.L,FDM Group (Holdings) plc,Technology,Information Technology Services,LSE
FDP,Fresh Del Monte Produce Inc.,Consumer Defensive,Farm Products,NYSE
FERG,Ferguson Enterprises Inc.,Industrials,Industrial Distribution,NYSE
FERG.L,Ferguson Enterprises Inc.,Industrials,Industrial Distribution,LSE
FEVR.L,Fevertree Drinks PLC,Consumer Defensive,Beverages - Non-Alcoholic,LSE
FIVE,"Five Below, Inc.",Consumer Cyclical,Specialty Retail,NasdaqGS
FLO,"Flowers Foods, Inc.",Consumer Defensive,Packaged Foods,NYSE
FOUR.L,4imprint Group plc,Communication Services,Advertising Agencies,LSE
FOX,Fox Corporation,Communication Services,Entertainment,NasdaqGS
FRAN.L,Franchise Brands plc,Industrials,Specialty Business Services,LSE
FRP.L,FRP Advisory Group plc,Financial Services,Capital Markets,LSE
FUL,H.B. Fuller Company,Basic Materials,Specialty Chemicals,NYSE
FUM.L,Futura Medical plc,Healthcare,Biotechnology,LSE
GAMA.L,Gamma Communications plc,Communication Services,Telecom Services,LSE
GENL.L,Genel Energy plc,Energy,Oil & Gas E&P,LSE
GFS,GLOBALFOUNDRIES Inc.,Technology,Semiconductors,NasdaqGS
GILD,"Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - General,NasdaqGS
GKP.L,Gulf Keystone Petroleum Limited,Energy,Oil & Gas E&P,LSE
GLE,Global Engine Group Holding Limited,Technology,Information Technology Services,NasdaqCM
GLV,Clough Global Dividend and Income Fund,Financial Services,Asset Management,NYSE American
GLV.L,Glenveagh Properties PLC,Consumer Cyclical,Residential Construction,LSE
GNK,Genco Shipping & Trading Limited,Industrials,Marine Shipping,NYSE
GOOD,Gladstone Commercial Corporation,Real Estate,REIT - Diversified,NasdaqGS
GR1T.L,Grit Real Estate Income Group Limited,Real Estate,Real Estate Services,LSE
GRC,The Gorman-Rupp Company,Industrials,Specialty Industrial Machinery,NYSE
GRG.L,Greggs plc,Consumer Cyclical,Restaurants,LSE
GRI,"GRI Bio, Inc.",Healthcare,Biotechnology,NasdaqCM
GROW,"U.S. Global Investors, Inc.",Financial Services,Asset Management,NasdaqCM
GSK,GSK plc,Healthcare,Drug Manufacturers - General,NYSE
HARL,Harleysville Financial Corporation,Financial Services,Banks - Regional,OTC Markets OTCQX
HAS,"Hasbro, Inc.",Consumer Cyclical,Leisure,NasdaqGS
HL,Hecla Mining Company,Basic Materials,Other Precious Metals & Mining,NYSE
HLMA.L,Halma plc,Industrials,Conglomerates,LSE
HLN,Haleon plc,Healthcare,Drug Manufacturers - Specialty & Generic,NYSE
HRI,Herc Holdings Inc.,Industrials,Rental & Leasing Services,NYSE
HSW.L,Hostelworld Group plc,Consumer Cyclical,Travel Services,LSE
HTWS.L,Helios Towers plc,Communication Services,Telecom Services,LSE
HUM,Humana Inc.,Healthcare,Healthcare Plans,NYSE
HVPE.L,HarbourVest Global Private Equity Ltd.,Financial Services,Asset Management,LSE
HVT,"Haverty Furniture Companies, Inc.",Consumer Cyclical,Home Improvement Retail,NYSE
HWG.L,Harworth Group plc,Real Estate,Real Estate - Development,LSE
IAG,IAMGOLD Corporation,Basic Materials,Gold,NYSE
IDE,"Voya Infrastructure, Industrials and Materials Fund",Financial Services,Asset Management,NYSE
IDEA,"Invent Ventures, Inc.",Financial Services,Asset Management,OTC Markets OTCPK
IDHC.L,Integrated Diagnostics Holdings plc,Healthcare,Diagnostics & Research,LSE
IGR,CBRE Global Real Estate Income Fund,Financial Services,Asset Management,NYSE
IHP.L,IntegraFin Holdings plc,Financial Services,Asset Management,LSE
III,"Information Services Group, Inc.",Technology,Information Technology Services,NasdaqGM
IMB.L,Imperial Brands PLC,Consumer Defensive,Tobacco,LSE
INDV,"Indivior Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,NasdaqGS
ING,ING Groep N.V.,Financial Services,Banks - Diversified,NYSE
INHC,Innolog Holdings Corporation,Industrials,Integrated Freight & Logistics,OTC Markets OTCPK
INSG,Inseego Corp.,Technology,Communication Equipment,NasdaqGS
INSP,"Inspire Medical Systems, Inc.",Healthcare,Medical Devices,NYSE
INTU,Intuit Inc.,Technology,Software - Application,NasdaqGS
IPX,IperionX Limited,Basic Materials,Other Industrial Metals & Mining,NasdaqCM
IQE.L,IQE plc,Technology,Semiconductor Equipment & Materials,LSE
IRON,"Disc Medicine, Inc.",Healthcare,Biotechnology,NasdaqGM
IWG.L,International Workplace Group plc,Real Estate,Real Estate Services,LSE
JD,"JD.com, Inc.",Consumer Cyclical,Internet Retail,NasdaqGS
KEFI,Keweenaw Financial Corporation,Financial Services,Banks - Regional,OTC Markets OTCPK
KEYS,"Keysight Technologies, Inc.",Technology,Scientific & Technical Instruments,NYSE
KGH.L,Knights Group Holdings plc,Industrials,Specialty Business Services,LSE
KOD,Kodiak Sciences Inc.,Healthcare,Biotechnology,NasdaqGM
KP2.L,Kore Potash plc,Basic Materials,Other Industrial Metals & Mining,LSE
LAND,Gladstone Land Corporation,Real Estate,REIT - Specialty,NasdaqGM
LAW,"CS Disco, Inc.",Technology,Software - Application,NYSE
LIO.L,Liontrust Asset Management PLC,Financial Services,Asset Management,LSE
LIT.L,Litigation Capital Management Limited,Financial Services,Credit Services,LSE
LIV.L,Livermore Investments Group Limited,Financial Services,Asset Management,LSE
LOOP,"Loop Industries, Inc.",Basic Materials,Specialty Chemicals,NasdaqGM
LPA,Logistic Properties of the Americas,Real Estate,Real Estate - Development,NYSE American
LRE,"Lead Real Estate Co., Ltd",Real Estate,Real Estate - Development,NasdaqCM
LRE.L,Lancashire Holdings Limited,Financial Services,Insurance - Specialty,LSE
LSL.L,LSL Property Services plc,Real Estate,Real Estate Services,LSE
MAB1.L,Mortgage Advice Bureau (Holdings) plc,Financial Services,Mortgage Finance,LSE
MACF.L,Macfarlane Group PLC,Consumer Cyclical,Packaging & Containers,LSE
MANO.L,Manolete Partners Plc,Industrials,Consulting Services,LSE
MCB,Metropolitan Bank Holding Corp.,Financial Services,Banks - Regional,NYSE
MCS,The Marcus Corporation,Communication Services,Entertainment,NYSE
MERC,Mercer International Inc.,Basic Materials,Paper & Paper Products,NasdaqGS
MGAM,Mobile Global Esports Inc.,Communication Services,Electronic Gaming & Multimedia,OTC Markets OTCPK
MGNT,Meganet Corporation,Industrials,Security & Protection Services,OTC Markets OTCPK
MHN,"BlackRock MuniHoldings New York Quality Fund, Inc.",Financial Services,Asset Management,N/A
MHPC,Manufactured Housing Properties Inc.,Real Estate,Real Estate Services,OTC Markets OTCPK
MIN,MFS Intermediate Income Trust,Financial Services,Asset Management,NYSE
MIND,"MIND Technology, Inc.",Technology,Scientific & Technical Instruments,NasdaqCM
MIND.L,Mind Gym plc,Industrials,Specialty Business Services,LSE
MIRA,"MIRA Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - General,NasdaqCM
MIRI.L,Mirriad Advertising plc,Communication Services,Advertising Agencies,LSE
MIST,Milestone Pharmaceuticals Inc.,Healthcare,Biotechnology,NasdaqGS
MLI,"Mueller Industries, Inc.",Industrials,Metal Fabrication,NYSE
MOS,The Mosaic Company,Basic Materials,Agricultural Inputs,NYSE
MSI,"Motorola Solutions, Inc.",Technology,Communication Equipment,NYSE
MTC,"MMTec, Inc.",Technology,Software - Application,NasdaqCM
MTR,Mesa Royalty Trust,Energy,Oil & Gas E&P,NYSE
MTRO.L,Metro Bank Holdings PLC,Financial Services,Banks - Regional,LSE
MXCT,"MaxCyte, Inc.",Healthcare,Medical Devices,NasdaqGS
